Epoch 0: 100%|█████████████████████████████████| 17/17 [00:00<00:00, 907.42it/s]
Epoch 1: 100%|████████████████████████████████| 17/17 [00:00<00:00, 1373.38it/s]
Epoch 2: 100%|████████████████████████████████| 17/17 [00:00<00:00, 1556.80it/s]
Epoch 3: 100%|████████████████████████████████| 17/17 [00:00<00:00, 1282.50it/s]
Epoch 4: 100%|████████████████████████████████| 17/17 [00:00<00:00, 1420.58it/s]
Epoch 5: 100%|████████████████████████████████| 17/17 [00:00<00:00, 1471.44it/s]
Epoch 6: 100%|████████████████████████████████| 17/17 [00:00<00:00, 1426.89it/s]
Epoch 7: 100%|████████████████████████████████| 17/17 [00:00<00:00, 1537.30it/s]
Epoch 8: 100%|████████████████████████████████| 17/17 [00:00<00:00, 1641.30it/s]
Epoch 9: 100%|████████████████████████████████| 17/17 [00:00<00:00, 1671.55it/s]
Epoch 10: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1513.23it/s]
Epoch 11: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1731.46it/s]
Epoch 12: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1625.29it/s]
Epoch 13: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1334.97it/s]
Epoch 14: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1273.61it/s]
Epoch 15: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1341.77it/s]
Epoch 16: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1514.90it/s]
Epoch 17: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1589.39it/s]
Epoch 18: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1633.07it/s]
Epoch 19: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1581.46it/s]
Epoch 20: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1583.71it/s]
Epoch 21: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1598.51it/s]
Epoch 22: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1700.24it/s]
Epoch 23: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1691.05it/s]
Epoch 24: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1722.26it/s]
Epoch 25: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1656.56it/s]
Epoch 26: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1679.50it/s]
Epoch 27: 100%|████████████████████████████████| 17/17 [00:00<00:00, 762.28it/s]
Epoch 28: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1578.24it/s]
Epoch 29: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1605.17it/s]
Epoch 30: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1584.51it/s]
